1,"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,38.94
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French,208.16
3,"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Barry French,8.69
4,R380,Clay Rozendal,195.99
5,Holmes HEPA Air Purifier,Carlos Soltero,21.78
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,6.64
7,"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,7.3
8,"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,42.76
9,"SAFCO Commercial Wire Shelving, Black",Monica Federle,138.14
10,Xerox 198,Dorothy Badders,4.98
